Disease area	Disease feature 	Disease feature 1	Disease feature 2	Disease feature 3	Cellular Input	Model	Category	Type	Cells	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance		Status	Content	Predictive
						LNCaP, MDA-MB-231									Cytokines, cytotoxicity, PD-L1, IFNγ 							
						LNCaP, MDA-MB-231, NCI-H1703, JHC7									cytotoxicity							
						LoVo, HCT-116									cytotoxicity, apoptosis, Hsp90, viability and Colony formation							
						LP-1, OPM-2 and RPMI8226									cytotoxicity, cytokines							
						Lymphocytes									Cytotoxicity, degranulation, and cytokine release, CD16, CD56							
						M171, M425 and M579									cytotoxicity, HER2, CD79b, Calreticulin , HMGB1, apoptosis, CXCL10 							
						M2-derived Kasumi-1									cytotoxicity, HSPA, endoplasmic retuculum stress, autophagy, apoptosis							
						mast cells									cytotoxicity, IL-2, IL-15, IL-18, Ki67							
						MBA-MB-231									Cytotoxicity, IL2Rα, CD56, CD69, IL6, IL12p70, TNFα							
						MCF-10A									cytotoxicity, secreted citokines							
						MCF-7									Degranulation , MICA/B and NKG2D-Fc fusion protein, HLA-I, citotoxicity							
						MCF-7,  Natural Killer cell, and cytotoxic T Lymphocytes									degranulation, CD107, cytotoxicity, IL-15SA/IL-15RA, TGF-β1, SMAD2/3, EGFR							
						MCF-7, HCC-1428, T47D, BT-474, UACC-812, ZR-75-30									degranulation, citotoxicity, 							
						MCF-7, HCC-1954									Dendritic cell-derived exosomes, citotoxicity							
						MCF-7, HDFa									densities of Th1, effector-memory T cells, T cells proliferation , PD1-PDL1, IMMUNOSCORE, satellite stability, correlation							
						MCF-7, HUVEC									Disialoganglioside							
						MCF-7, MCF-7 TamR, T47D, SK-BR-3, MDA-MB-231									DNA profile, IFNγ							
						MCF-7, MDA-MB-231, SK-BR-3, BT-474									DNA profile, mutational profile							
						MCF-7, SK-BR-3 and MBA-MB-231									DNA profile, NRAS mutation, correlation							
						MCF-7, T47D									DNA profile, PD-L1, PD-1							
						MCF-7, ZR-75-1, and MDA-MB-231, NHL									DNa profile, proteome profile, immuno profile,							
						MCF‐10A									DNA profile,SCC4, SCC15, and SCC25							
						MCW670, Panc-1									DNA profiling							
						MDA-MB-231									DNA sequencing, mutational profile							
						MDA-MB-231 and T47D									doses of Lymphocytes,  stability and its sensitivity o the model							
						MDA-MB-231, HCC-70, MCF-7									drug delivery and penetration							
						MDA-MB-231, MDA-MB-435S, MDA-MB-453, SK-BR-3, ZR-75-1, T47D, and MCF-7,									drug internalization, citotoxicity, LAMP1, ROS levels							
						MDA-MB-231, MDA-MB-468									drug uptake							
						MDA-MB-231, MDA-MB-468, and MCF-7, 293T,Phoenix cells									e B7-H3-specific mAb 376.96 staining							
						MDA-MB-231; MCF-7; and MCF-10A									E2F-1, citotoxicity, CIK							
						MDA-MB-435, HeLa, Colo-205, Du-145									EFGR, HER2, and PD-L1, CCL2, CCL21, VEGF and CXCL1							
						MDA-MB-453, MCF-7, MBA-MB-231									EGFR, cytotoxicity, degranulation, IFNγ, citotoxicity							
						MDA-MB-468, 231-H2N									EGFR, drug cellular uptake and localization, survival,  apoptosis/necrosis							
						MDA-MB-468, normal ductal epithelium Biopsies									endocytosis, proliferation,  cytokine and chemokine							
						MeCoP, MeTA, MeDeBO, and MeOV									EPHA2 , citotoxicity							
						MEFs 									epigenetic profile, PD-L1 and HLA-DR							
						MIA MIA-PaCa-2 and AsPC-1									epitope recognition							
						MIA-PaCa-2 									equilibrium points of the model 							
						MIA-PaCa-2 and Panc-1 , patient-derived organoids (PDOs), Biopsies									ErbB2 							
						MIA-PaCa-2, MDA-MB-231									exosome protein profiles, E6/E7, p16, and survivin, apoptosis, proliferation							
						MIA-PaCa-2, PK-45, Panc-1, KLM-1, Bx-PC3, and PK-1									expression of 18 cancer-testis antigene, correlate							
						MM									expression of CTA							
						MM.1S, U266B1, SCC4, SCC15, and SCC25									extravasation,  T-cell migration and cytotoxicity							
						MOLM-13									FAK, T cell infiltration							
						MOLM-13, MOLM14, and HL60									FAS, Colony formation, migration							
						monocyte-derived DCs									FOXP3,  Treg-specific demethylated region (TSDR)							
						monocytes 									gene profiling, ALG12, GUSB, RPLP0, KRBA2, and ADAT2, IFN gamma and TNF alpha							
						myeloid derived suppressor cells (MDSCss) 									Genome profiling ,new antigenes,  immunomodulatory proteins and cytokine profiling 							
						Myeloid-derived suppressor cells									genome profiling, DDB1, ERCC1, ERCC2, PRPF19, BCAT1, CDKN1B and MARK4, molecular signature							
						Myeloid-derived suppressor cells (MDSCs) 									growth of tumor cells 							
						Myeloid-derived suppressor cells (MDSCss) , T cells									Hemolysis , citotoxicity, apoptosis, migration							
						n/a									HLA-A2/MIF, citotoxicity							
						Natural Killer (NK) and CD8C T immune cells									HLA-DRA, HLA-DRB3, HLA-DMA, HLA-DMB, B2M, HLA-A, HLA-B), ADA (encoding adenosine deaminase), ADGRE5 (CD97), CD58 (LFA3), CD74 (encoding invariant chain and CLIP), CD83, CXCL8 (IL8), CXCL16, HLA-F, IL6, IL18, and KITLG, 							
						NCI-H125									HLA, IFNγ , cytokine , cytotoxicity							
						NCI-H226, NCI-H358 and NIH:OVCAR-3									HORMAD1 , correlation, PARP, ROS							
						NCI-H69, NCI-H146, NCI-H446, NCI-H82, NCI-N592									HPV status, Chemokine and cytokine							
						NCI-N87, MKN45, AGS, NUGC3, SGC-7901, MGC-803 and BGC823, and Jurkat cells, Biopsies									ICAM-1, citotoxicity							
						NK									IDO-1, cancer-immune system interactions							
						NK cells									IDO,  IL-2, IFN-gamma, perforin secretion, IL-10 and TGF-beta							
						NK cells, PBMCs									IDO, CD31, and CD105, proliferation							
						NK T cells									IDO1 inhibitors							
						NK-92									IDO1- and TDO2, WARS, IFN gamma, GCN2-peIF2 alpha-ATF4 signaling							
						NKT, DC									IDO1, methylation profile, Kyn in Human sera							
						NUGC4, HCT-116, SW620, MOLM-13									IFN-beta , PD-L1, PI3K, IFN-beta-induced							
						OPM-2, L363 and U266									IFN-gamma, RFXAP. miR-212-3p, 							
						OV-MZ-6 and SKOV-3, Biopsies									IFN-γ release, cell viability, citotoxicity							
						OVCAR-3, SKOV-3, and OVCAR-4									IFN-γ, IL-2, and IL-12p70,  oxidative and apoptotic stress, viability, prolieration							
						P815 mastocytoma cells									IFNβ 							
						Panc-1									IGF2BP3, correlation							
						Panc-1 and SW1990									IL-11, JAK/STAT3, T cells proliferation							
						Panc-1 or MIA MIA-PaCa-2									IL-13R2, IL-13, c-Jun, Fra-1, Jun-D, c-Fos, and Jun-B, JAK/STAT, 							
						Panc-1,  Capan-1									IL-15, ILR-15							
						Panc-1, MIA MIA-PaCa-2, K562									IL-17 mast cells count, correlation							
						Panc-1, Panc-2, Colo-357, SU8686, AsPC-1, MIA MIA-PaCa-2 and Bx-PC3, HPDE-E6E7									IL-17, IL-2							
						Panc03.27									IL-18. PD1, 							
						panel of solid and liquid tumors									IL-1β, TNF-α, IL-6, and PGE2, citotoxicity							
						patient-derived myeloid leukemia (AML) cells									IL-2							
						PBMCs									IL-2, CD56, CD16, NKG2D, NKp30, IFN-γ, NKp46 and increases NKG2A/CD94							
						PBMCs, Biopsies									IL-2, correlation							
						PBMCs, Bone marrow mononuclear cells									IL-2, IFNγ, citotoxicity							
						PBMCs, DCs									IL-2, IL-7 and IL-15							
						PBMCs, NK									IL-2, TILs count, IFN-gamma, PD-1 and 4-1BB							
						PC14,  LU99B, PCI6,  A172, HT-1080, MKN28, AZ-521, MCF-7 									IL-21R							
						PC3									IL-27, IL-6, IFN-γ							
						PC3, Du-145 and LNCaP 									IL-32α, metastasis, and invasion, JAK2/STAT3, N-cadherin, Vimentin, Snail, Zeb1							
						PcCL3 									IL-6, STAT3, (HLA)-DR and CD86, ARG1, COX2, CTSL 							
						PDAC, KLM-1, HCC-70,  A431/H9									IL-8							
						peripheral Blood Lymphocytes from Colon cancer patients, SK-MEL-28, HCT- 116, M1/9 melanoma and IDC Tu2									IL-8/CXCL8, MCP-1/CCL2, angiogenesis, macrophage infiltration, p65, E1A							
						peripheral Blood mononuclear cells (PBMCs), DCs (DCs) 									IL17A, cell proliferation, apoptosis							
						PNT1A, LNCaP									IL1RAcP, proliferation, citotoxicity							
						primary high-grade glioma cell line (HGG, representing glioma stem cells) SB2b									immune dynamycs							
						Pumc-91 and T24 									immune system response, IL-2							
						QU-DB (large-cell lung carcinoma) and A-549 (adenocarcinoma)									immunopeptidome profile, SLC45A2 and CTL sensitivity 							
						Raji cells									immunoprofile							
						Raji, MOLT-4, Jurkat									immunoprofile, cytokines							
						RCC cells									immunoprofiling , T- and B-cell immunosequencing							
						RCC85#21									immunoproteomic profile, genomic profile							
						RMS									immunotoxicity, citokynes							
						RPMI-8226									immunotoxicity, proteomic profiling							
						RPMI-8226, IM-9, K562, THP-1, MOLT4, CCRF-CEM, Ramos, U937									in vivo tumore-immune interactions							
						s ES-2, OVCAR-3, CaOV-3, HEY-A8, SKOV-3.ip1 and A2780 , Biopsies									infiltration							
						SACC-83 and HN13 									infiltration, citotoxicity, MIP1α, RANTES, and CD40L							
						scc-U2, scc-U8, and OSC19, A431									infiltration, fibroblast citotoxicity, T cells  activation; increased cytokine secretion, IL-2							
						SCC4, SCC15, SCC19, SCC25, SCC84, SCC92, SCC99									interaction of tumour infiltrating cytotoxic Lymphocytes (TICLs) with tumour cells							
						serum									interleukin (IL)-2, IL-7, and IL-15, ECCE,  IFN-γ and TNF-α, citotxicity							
						SET-2, BV173, 697, SKLY-16, BA25, HL-60, Meso/A24 									inverse mapping 							
						SGC-7901 									JAK/STAT pathway, PD-L1							
						SGC-7901 and AGS									killing rates of CD8+ T cell and NK cells							
						SiHa and Caski									KIR3DL1, HLA-B, correlation							
						SiHa keratinocytes									KY-CC-14/ACTR1A, KY-CC-19/TSGA2, KY-CC-12/FKBP4, KY-CC-15/PLRG1							
						SiHa, HeLa, DoTc2 4510, HPV 16 E6/E7-transformed, Ect1/E6E7									L-33, Fox3p, T-Regs density, cell proliferation, correlation							
						SK-BR-3									LAG-3, PD-11, PD-L1, infiltration of T-cells, correlation							
						SK-BR-3, A431, NCI-N87, MKN-7, AGS, JIMT-1									least effective concentration and the half-life of the drug							
						SK-BR-3, BT-474, MCF-7, MDA-MB-231, SK-OV-3									LRIG1 , correlation							
						SK-MEL-23, SK-MEL-37, ALAB, MCF-7, 734B, ARK , U266, T2-1B 									lymphatic vessel density (LVD), CD8+ T cell infiltration, INOS, IDO							
						SK-MES-1, U251, HEC-1B, SK-MEL-2									Lymphocytes telomerase activity, 							
						SK-OV-3									MAGE A11							
						SK-OV-3, HEC-1A, ovarian tumor									MAGED4B and FJX1, citotxicity							
						SKMEL-28 cells									MAP3K3, correlation							
						SKNBE(1)n and SKNMM									MAPK/ERK and NFB/RelB							
						SKOV-3									maturation and  number of CTLs, PD-L1, citotoxicity							
						SKOV-3-IP									MCF-7, ZR-75-1, and MDA-MB-231, citotoxicity, ROS, radiation-nduced transcriptional changes							
						SKOV-3, A2780, and OVCAR-3									MDSCs suppression, PDL1, DC HIL, 							
						SKOV-3, A2780, OV-90, FHIOSE118hi 									Melanoma antigen family A4 (MAGEA4), correlation							
						SKOV-3, HEK293 cells and H460 lung cancer cells									MHC class I chain-related A/B, citotoxicity, 3-BrPA, NK-92MI-mediated cytotoxicity.							
						Skov‐3, OVCA433, TR175 and Daudi, Biopsies									MHC, binding affinity							
						SMMC7721, BEL7402, HEP3									migration,  CCL22, CXCL9, CXCL10 and CXCL12, N gamma and TNF alpha							
						SNK-6, SNT-8, and SNK-1									migration,  S1P receptor 							
						SUNE1, 5–8F, S18, S26 and CNE2									migration, extravasion							
						SV-BR-1-GM									migration, invasion, proliferation. morphology, β-catenin/TCF4							
						SW480 									migration, Lymphocytes levels, correlation							
						SW480 cells and CT-26									miR-3127-5p/p-STAT3, PD-L1, cell viability							
						SW480 or SW620									MIR21,  CD3(+), CD8(+), CD45RO (PTPRC)(+), and FOXP3(+) T cells							
						SW480, Caco-2, HKE3, 22Rv11, VCaP and LNCaP									MLH1, MSH2, MSH6, and PMS2, CD8, programmed cell death protein 1 (PD-1), and programmed death-ligand 1 (PD-L1)) and p53							
						SW480, SW620, HCT-116									mTOR, MAPK, PD-1/PD-L1							
						SW620 									MUC-1, prolifetration							
						T cell									MUC18, incasion, migration							
						T cells									mutation profile							
						T cells from ascites Lymphocytes									mutational analyses, somatic point mutations, small insertions and deletions, mutational signatures, and somatic copy number alterations							
						T cells, Three HPV(+) cell lines (UM-SCC-2, UM-SCC-47and UPCI:SCC-90, HPV(−) cell lines (PCI-13, PCI-30)									MYC, PD-L1, IFN-gamma							
						T-cells									MYCN, NKG2D , DNAM1, correlation							
						T-cells, PBMCs									neoepitopes in cancer							
						T-Regs									NF-κB/β-catenin and STAT3/IL-6 Pathways							
						T24									NKG2D , MICA, MICB, ULBP-2, and ULBP-3, MMP-9, correlation, RNA profile							
						T24, UM-UC-3, J82, RT-112, RT4, and SW780									NKG2D, IL-2, BCG, degranulation, IFNγ, citotoxicity							
						TC-1									NKp30, NKp44 and NKp46, and perforin, citotoxicity							
						TC-71, SK-N-MC, MHH-NB11									NLRC5 and PD-L1 							
						TE-1, Eca-109 and Eca-9706, Biopsies									numerical simulations and the classical linear stability analysis							
						Tet-21/N cell line									NY-ESO-1							
						THP-1 (Human acute monocytic leukemia), A-549, T2, U937, and MCF-7									NY-ESO-1-, MAGE-A3-, MAGE-A1- and β-actin, CTLA-4-, PD-1-, PD-L1							
						TIB-152, AKR-209									NY-ESO-1, CA-15–3, CEA and survivin							
						TILs									NY-ESO-1, Cytokeratin							
						TILs, Biopsies									OCT3/4, SOX2, KLF4, and c-MYC, morphology, karyotype							
						TILs, Myeloid-derived suppressor cells									oxidative DNA damage 							
						TKIs , NCI-H1975, PC9									OY-TES-1 antigene							
						triple negative breast cancer cell									OY-TES-1, correlation							
						Tumor-associated B cells									PD-1, GDNF, JAK2-STAT1 signaling pathway							
						tumor-infiltrating Lymphocytes (TILs)									PD-1, LDH, cytotoxicity							
						U251, GL-15									PD-1, PD-L1 and T Lymphocytes Expression,  CD3 and FOXP3							
						U2OS, Colo829, Biopsies									PD-1, PD-L1, migration							
						U87-MG, LN229, 293 T, U251									PD-1, PDL-1, infiltration							
						U937, MOLT4									PD-1, RNA profile, IFN-gamma, T-Regs exhaustion							
						Vero, HT-29, SW480, C32, A375, MDA-MB-231, 4T1, HepG2, and A-549									PD-1/PD-L1, citotoxicity							
						YPK-1									PD-1/PD-L1, MAPK, citotoxicity in organoids							
						YPK2 and YPK5 									PD-1/PD-Li immune inhibitory axis, T cells							
						γδ T cells									PD-11, PD-L1, infiltration of T-cells, correlation							
															PD-L1							
															PD-L1 and EGFR 							
															PD-L1 and PD-L2, IL-2, IFN 							
															PD-L1 protein expression, tumor mutation burden, and expression of an immune gene signature,  IFN-gamma, correlation							
															PD-L1, Cell migration and invasion activity							
															PD-L1, citotoxicity,  cell viability, migration, invasion, cell cycle, apoptosis							
															PD-L1, correlation, T-cell density, B-cell density,							
															PD-L1, EMT transition							
															PD-L1, FOXP3, correlation							
															PD-L1, PD-L2, DNA methylation, RNA profile, protein profile							
															PD-L1/PD-1 pathway, cytotoxicity,  PD-1, TIM-3, and LAG-3, CD137							
															PD-L1/PD-1, citotoxixcity,  T cell activation, proliferation, secretion of IFN gamma, spheroid assay, T cell infiltration							
															PD-L2, T-cell reactivity							
															PD1-PDL1 axis and/or the CTLA4							
															PD1/PDL1,  Lymphocytes proliferation and CTL activity							
															PDL-1, correlation							
															PDL1, CD8, citotoxicity							
															peptide binding							
															perforin, citotoxicity							
															perforin, ICAM-1/TGF beta 2							
															persistency of effecto cells							
															PI3K, CLEC2							
															PI3K/Akt/mTOR , citotoxicity							
															Pin1-FOXM1, cell cycle, Colony formation							
															PLAC1/CP1, IFN-γ, cytotoxic T Lymphocytes							
															Plasminogen activator inhibitor-1, macrophages infiltration,  FAK, LRP1							
															PLK1							
															polio virus receptor and Nectin-2, whereas UL16-binding proteins , MICA/B and HLA							
															poliovirus receptor (PVR), CD155, immunotoxicity, viral propragation, cell proliferation							
															PRC2, H3K27 , migration, Chemokines ,CXCL9 and CXCL10							
															predicted clinical outcome							
															proliferation							
															proliferation,  Th1 cytokines (IFN-gamma, TNF-alpha, IL-12) and Th2 cytokines (IL-10, IL-4)							
															proliferation, amine, citolysis, viability							
															proliferation, cytotoxicity, cytolines							
															proliferation, HERV-K, cell-adhesion							
															proliferation, HLA-ABC, HLA-DR, CD80, CD86, CD83 and MUC1							
															proliferation, invasion, Phagocytosis, T-cell proliferation							
															proliferation, lysis, cytokines							
															proliferation, scFV							
															proportion of PD-Li-positive carcinoma cells, corelation							
															prostate stem cell antigen (PSCA), citotoxicity							
															protein profiling							
															PSMA, antigene binding							
															PTEN, IL-12							
															PTTG1, TGFB1/SMAD3, RNA profile, migration, invation, CyclinD1 and MMP-2							
															R-CHOP variants							
															RAS, RAF, ERK, AKT, proliferation, citotoxicity							
															regulatory T cells count, CD39, Foxp3,  ICOS, PD-L1 and CTLA-4							
															RET/PTC3 , IDO1, TREG density, correlation,STAT1-IRF1 pathway							
															Rhein, citotoxicity, effector Lymphocytes , HIF-1							
															RNA profile							
															RNA profile,  E2, E6, and E7 antigens, PD-1, IDO-1, citotoxicity, T-cell							
															RNA profile, CD3, FoxP3							
															RNA profile, CTLA4							
															RNA profile, mutation profile							
															RNA profiling, 16S rRNA, lysosomal associated membrane protein 3 (LAMP3), STAT1, TAP1, intratumor microbiota							
															RNA profiling, immune profile, mutational rate, neoantigen formation, and MMR status							
															RNA profiling, JAK2, JAK3, 							
															ROR1							
															ROR1, 5T4, CAIX, Nanog, OCT4, LDH , IFN-γ secretion, degranulation							
															secreted kynurenine 							
															secreted MMP1, MMP7, MMP9, IL-6, VEGFA, IL-l alpha, TNF-alpha, GM-CSF, IL-1RA, and IL-8, PDL1, CD47, FASL, and IDO							
															sensitivity to NK, citotoxicity, apoptosis							
															Siglec-7 and Siglec-9, citotoxicity							
															signaling pathways, gene transactivation, cell viability, lactate dehydrogenase and HMGB1 release							
															signatures of T cell dysfunction and exclusion							
															single T cells transcriptional profile							
															SMAD5, IFNγ, DNA profile, mutation profile 							
															SOX-2							
															SPANX-CD, MAGEB2, MAGEA1, MAGEB6, and CXORF48 , CXORF48, MAGEB6, and CRISP2							
															sperm protein 17							
															spheroid formation, citotoxicity, sNKG2D 							
															SS1P							
															stability of the tumor-free equilibrium							
															STAT3 , T cells IFN gamma and granzyme-B							
															STAT3, RNA profiling							
															STEAP1 and STEAP1B							
															T cell activation							
															T cell activation and proliferation, citotoxicity							
															T cell activation, IL-2, IL-10, and INF-gamma, PD-L1, IDO-1							
															T cell activity, CD1d							
															T cell count							
															T cell count and reactivity							
															T cell counts, cytokines, IFN-gamma, IFN-alpha, IL-17							
															T cell infiltration							
															T cell proliferation							
															T cell proliferation, TGF-β and IL-10							
															T cell response							
															T cell responses 							
															T cell viability, citotoxicity							
															T cells proliferation, correlation							
															T cells, correlation, DNA profiling							
															T Lymphocytes proliferation, PSMA, 1BBL, IL-12, citotoxicity							
															T-cell infiltration							
															T-cell Infiltration, citotoxicity							
															T-cell profiling, PD-1 and IFNγ, cytokine 							
															T-cell reactivity							
															T-cell response							
															T-cell response 							
															T-cell response,  MHC class-I and class-II, major histocompatibility complex class I-related chain A/B, Fas, IL-1 beta and TNF-alpha, PD-L1							
															T-cell response, antigen HM1.24 							
															T-cell response, BTLA, HVEM							
															T-cell response, citotoxicity, PD-1, PD-L1, CEA691, IFNγ 							
															T-cell response, DNA profile							
															T-cell response, IFN-γ, TNF-α and IL-17A							
															T-cell response, migration, cytokines							
															T-cell response, myothelin, IL-2, IL-15 and IL-21,FN-gamma and TNF-alpha							
															T-cell response, PD-1 and Tim-3							
															T-cell response, PD-1, CD27, FAS, CD45RA, CCR7, correlation							
															T-cell response, phagocytosis, migration							
															T-cell response, TIL reactivity , HLA-I, CD- proteins							
															T-cell response, Ub-proteins, IFN-gamma							
															T-cell tissue cellularity, PD-L1 ,  PD-1, CD3, PD-1/PD-L1, correlation, T-cell infiltration							
															T-cell trafficking							
															T-cells count, MUC-1, brachyury, and CEA 							
															T-cells proliferation, citotoxicity, 							
															t-periodic system							
															T11 Target Structure, cells interactive dynamics							
															TAM density, correlation							
															TAP2, LMP2 and 7, HIF							
															temporal dynamics of cytotoxic T cells and cancer cells							
															TEX19							
															TGF-β							
															Th-like cytokine profiles, IL-4, 							
															TIL count, PD-L1, RNA profile							
															TILs							
															TILs count, GARP							
															TILs reactivity, T-cell receptors							
															TIM-3							
															TIM3, lymph node metastasis, CD8(+) T cells and CD11b(+) CD33(+) Myeloid-derived suppressor cells (MDSCss), 							
															TLR3, progression, invasion and immune evasion, cytotoxicity, cell viability							
															Toll-like receptor 4, IFN-gamma,  CD25, CD69 and 4-1BB, cytokines and chemokines							
															transcriptional profile							
															transcriptional profile, ARFL, correlation							
															transcriptome and genome alterations ,  PI3K/AKT pathway, AKT activity, FAS, PUMA, NOXA							
															treatment effectiveness							
															Treg immunosuppressive activity, correlation							
															Treg-like CCR7(+) mononuclear cells titer, CD45RA, CD25, FOXP3							
															TREM-1, COX-2 							
															TRL4, cytokine and chemokine							
															tryptophan and kynurenine metabolism							
															tryptophan-2,3-dioxygenase,  T-cell activation and proliferation 							
															Tumor immune dynamics							
															tumor mutational burden							
															tumor mutational burden (TMB) ,  PD1/PD-L1, correlation							
															tumor volumes							
															tumor-free equilibrium and coexisting equilibrium							
															tumor-immune dynamics after BCG instillations							
															tumor-infiltrating Lymphocytes (TIL), PD-L1, PD-1							
															tumor-infiltrating T-cells  distribution, TIm-3, PD-1,  IFN-gamma							
															tumour-immune interaction							
															Tumour-TICLs Interactions							
															ULBP2 , ADAM10 , citotoxicity							
															vaccine structure							
															VentX, Tumor-associated macrophages (TAMs)  count							
															viability, TREG:TEFF ratio, IL-10							
															viral infection, cytotoxicity							
															WEE1, immunopotentation							
															Wnt pathway,  proliferation and cytolytic activity, mTOR, Bcl-2, CD62L or CCR5							
															XAGE-1b							